Categories;Active (0/1);Name;Manufacturer/brand;Price tax included;Tax rule ID;Quantity;Image URLs;Description
Prezent dla koszykarza;1;Piłka do koszykówki Spalding TF Advanced Grip Control Indoor/Outdoor;Spalding;189.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/6842/Pilka-do-koszykowki-TF-Advanced-Grip-Control-IndoorOutdoor.jpg;"Piłka do koszykówki 
Spalding TF Advanced Grip Control Indoor/Outdoor
 zaprojektowana by wytrzymać każdą nawierzchnię, zarówno na hali, jak i na zewnątrz. Posiada nowo zaprojektowaną powierzchnię ze skóry kompozytowej z głębszą strukturą, która idealnie trzyma się ręki i pozwala na lepszą kontrolę podczas ruchu w grze. Odpowiednio dobrana miękkość skóry zwiększa czucie piłki i pomaga przy intuicyjnie wykonywanych manewrach i zwodach na boisku.
Oryginalne wzornictwo Spalding, gdzie linie między panelami, również są pokryte skórą kompozytową. Takie zastosowanie jako pierwszy wprowadziła właśnie firma Spalding. I teraz z powodzeniem jest stosowane w najwyżej linii piłek dedykowanych do hali i na zewnątrz z linii piłek koszykarskich TF Advanced Grip Control. Model dedykowany do gry na hali na powierzchniach typu parkiet.


Materiał: Skóra kompozytowa premium
Przeznaczenie: Indoor / Outdoor
Kolor: czarny
Rozmiar: 7"
CZYSZCZENIE MAGAZYNU do -60 %;1;Piłka do koszykówki Spalding TF Silver In/Out;Spalding;109.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/6844/Pilka-do-koszykowki-Spalding-TF-Silver-InOut.jpg;"Piłka do koszykówki z serii
 TF Silver Indoor/Outdoor
 firmy Spalding z przeznaczenie zarówno na grę w hali (Indoor), jak i na zewnątrz na powierzchnie bitumiczne (beton i asfalt - Outdoor), jak i na boiska typu Orlik, gdzie występuje tartan. Nowoczesne rozwiązania odnośnie wytrzymałości i prowadzenia gry. Zastosowana piłce do kosza Spalding TF Silver In/Out 
skóra kompozytowa
 daje doskonały chwyt i zapewnia lepszą kontrolę. JEst to bardzo sprawdzony model piłki do koszykówki 
Spalding
 polecany na jedną z pierwszych piłek do gry w koszykówkę ze skóry kompozytowej.


Materiał: Skóra kompozytowa
Zastosowanie: Indoor / Outdoor
Rozmiar: 7"
Piłki do koszykówki,Spalding;1;Piłka do koszykówki Spalding TF Advanced Grip Control Two Tone;Spalding;189.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/6845/Pilka-do-koszykowki-TF-Advanced-Grip-Control-Two-Tone.jpg;"Piłka do koszykówki 
Spalding TF Advanced Grip Control Indoor/Outdoor
 zaprojektowana by wytrzymać każdą nawierzchnię, zarówno na hali, jak i na zewnątrz. Posiada nowo zaprojektowaną powierzchnię ze skóry kompozytowej z głębszą strukturą, która idealnie trzyma się ręki i pozwala na lepszą kontrolę podczas ruchu w grze. Odpowiednio dobrana miękkość skóry zwiększa czucie piłki i pomaga przy intuicyjnie wykonywanych manewrach i zwodach na boisku.
Oryginalne wzornictwo Spalding, gdzie linie między panelami, również są pokryte skórą kompozytową. Takie zastosowanie jako pierwszy wprowadziła właśnie firma Spalding. I teraz z powodzeniem jest stosowane w najwyżej linii piłek dedykowanych do hali i na zewnątrz z linii TF Advanced 
Grip Control
.


Materiał: Skóra kompozytowa premium
Przeznaczenie: Indoor / Outdoor
Kolor: czarny / pomarańczowy
Rozmiar: 7"
Piłki do koszykówki,Spalding;1;Piłka do koszykówki Spalding TF-50 LayUp;Spalding;54.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/6846/Pilka-do-koszykowki-Spalding-TF-50.jpg;"Najnowszy model z serii TF-50 Lay Up. Rewelacyjny chwyt i kontrola. Świetna piłka do rozpoczęcia gry. Bardzo dobre rozwiązanie zapewniające wytrzymałość i rewelacyjną charakterystykę gry. Wytrzymała gumowa powierzchnia. Przeznaczona do gry na zewnątrz (Outdoor). Model doskonały na pierwszą piłkę, bardzo często jest wybierany przez kluby koszykarskie do nauki i treningów w szkołach. Dla już zaawansowanych graczy polecamy kolejne modele z serii TF (150, 250, 500, 1000). Ten model ma bardzo dobry przelicznik ceny do jakości w kategorii piłek gumowych do koszykówki.


Materiał: guma syntetyczna (podwyższonej wytrzymałość)
Przeznaczenie: Outdoor 


Rozmiar: 7 / 6 / 5"
Piłki do koszykówki,Spalding;1;Piłka do kosza dla dzieci Spalding Rookie Gear Outdoor (orange);Spalding;62.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/7050/Pilka-do-kosza-dla-dzieci-Spalding-Rookie-Gear-Outdoor-orange.jpg;"Piłka do koszykówki dla dzieci
 firmy 
Spalding
. Wykonana z myślą o najmłodszych koszykarzach do gry na zewnątrz (
Outdoor
), na powierzchniach asfaltowych, jak i z tartanem. Wykonana z wytrzymałej gumy z kolorowym wzorem. Wersja modelu w kolorystyce pomarańczowej zbliżonej do kolorystyki piłek dla profesjonalnych koszykarzy.


Jej waga została pomniejszona o 15%
 względem takich samych piłek w rozmiarze 5, dzięki czemu nadaje się doskonale na pierwsze kroki z koszykówką. Przeznaczona specjalnie do nauki gry, dzięki czemu dziecko nie będzie miało problemów z dorzucaniem jej do obręczy, a dodatkowo mała waga sprzyja nauce prowadzenia piłki. Polecana piłka do nauki gry w koszykówkę dla dzieci.
Powierzchnia: wytrzymała guma
Przeznaczenie: Outdoor (na zewnątrz)
Rozmiar piłki: 5"
Piłki do koszykówki,Spalding;1;Piłka do kosza Spalding NBA Phantom;Spalding;99.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/8419/Pilka-do-kosza-Spalding-NBA-Phantom.jpg;"Piłka do koszykówki Spalding Street Phantom
 została zaprojektowana do gry w Streetballa na zewnętrznych boiskach (Outdoor), wykonanych z twardej powierzchni bitumicznej, typu asfalt czy beton. Piłka do kosza Spalding NBA Phantom to model, który posiada czarną tonację z jaskrawymi elementami. W piłce tej została zastosowana technologia - Soft Grip Technology.


Materiał: guma syntetyczna połączona z pianką
Kolor: czarny (black)
Przeznaczenie: Outdoor 
Rozmiar: 7"
Piłki do koszykówki,Spalding;1;Piłka do koszykówki Spalding Phantom;Spalding;99.90;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/7208/Pilka-do-koszykowki-Spalding-Phantom.jpg, https://sklepkoszykarski.pl/userdata/public/gfx/7209/Pilka-do-koszykowki-Spalding-Phantom.jpg;"Piłka do koszykówki Spalding Phantom
 posiada intensywny pomarańczowy kolor uzupełniony o eleganckie akcenty czerni i złota. Ta 
piłka do koszykówki Spalding
 wykonana została z wysokiej jakości gumy i świetnie sprawdzi się na hali, jak i na zewnętrznych boiskach. Model ten posiada udoskonaloną, delikatną powłokę, która zapewnia doskonały chwyt i pełną kontrolę nad grą. 


Materiał: Guma
Przeznaczenie: indoor/outdoor
Rozmiar: 7"
Piłki do koszykówki,Spalding;1;Piłka do koszykówki Spalding NBA Space Jam Tune Squad;Spalding;99.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/7052/Pilka-do-koszykowki-Spalding-NBA-Space-Jam-Tune-Squad.jpg, https://sklepkoszykarski.pl/userdata/public/gfx/7053/Pilka-do-koszykowki-Spalding-NBA-Space-Jam-Tune-Squad.jpg;"Piłka do kosza Spalding NBA Space Jam Tune Squad Outdoor 
to idealna piłka do kosza dla fanów Kosmicznego Meczu w roli głównej, którego zagrał sam LeBron James. Film dla każdego fana koszykówki, a szczególnie dobrze nadaje się do wprowadzena i zafascynowania koszykówką dzieci. Model w kolorze niebiesko-czarnym. Produkt limitowany wydany z okazji premiery filmu Space Jam 2.


Rozmiar: 7 / 5
Materiał: Guma"
Piłki do koszykówki,Spalding;1;Piłka do kosza Spalding Graffiti;Spalding;79.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/7054/Pilka-do-kosza-Spalding-Grafitti.jpg;"Piłka do kosza Spalding Graffiti 
jest to kontynuacja rozrysowanej piłki. Jako, że jest to w pełni certyfikowana piłka przez ligę koszykarską NBA widnieje na niej duże logo ligi. Wykonana została z wytrzymałej gumy, dzięki czemu nadaje się na każdą pogodę. Można nią grać zarówno na twardych powierzchniach typu asfalt i beton, jak i na powierzchniach miękkich spotykanych na orlikach.


 


Materiał: guma syntetyczna (o podwyższonej wytrzymałość)
Przeznaczenie: Outdoor
Rozmiar: 7"
CZYSZCZENIE MAGAZYNU do -60 %;1;Piłka do koszykówki Spalding Marble;Spalding;79.00;1;100;https://sklepkoszykarski.pl/userdata/public/gfx/7058/Pilka-do-koszykowki-Spalding-Marble.jpg;"Piłka do koszykówki Spalding z serii Marble 
posiada powierzchnię dobrze trzymającą się ręki, wykonana w technologii mieszanych kolorów. Wykorzystana została specjalna technologia barwienia. Unikalne połączenie kolorów na każdej piłce. Doskonała na oryginalny prezent dla koszykarza oraz sposób, żeby Twoja piłka wyróżniała się na boisku podczas gry i treningów.


Rozmiar: 7 /6
Przeznaczenie: Outdoor
Materiał: Guma"
